sentence,spoiler,page,trope
Jack grows one during   the year that he was held in solitary confinement for working with unsanctioned sources to learn the truth behind his daughter's apparent death .,True,Alias,BeardOfSorrow
"Sydney works for the government, but is abducted by criminals to perform certain high-risk jobs for them in Season 2 .",True,Alias,BoxedCrook
"In the Season 4 premiere, we learn that   Jack killed Irina offscreen  at some point between the Season 2 and Season 3 finales.",True,Alias,BusCrash
"Of course, this being  Alias , it later turns out that Jack actually killed  a ''double'' of Irina .",True,Alias,BusCrash
"Nadia, who discovers her parents are actually   Irina and Sloane .",True,Alias,ChangelingFantasy
"It also attracts a few other freelancers, such as Sark.",False,Alias,CityOfSpies
"  Irina  had the option of being saved   by her daughter , or grabbing the Horizon.",True,Alias,DeathByMaterialism
"She grabs the Horizon, completely ignoring the fact that  she's on an unstable and steadily cracking glass pane .",True,Alias,DeathByMaterialism
He was fine until he left a message on her answering machine using a wiretapped line.,False,Alias,DeathByOriginStory
If he'd only paid attention...,False,Alias,DeathByOriginStory
They immediately start a Die Hard plan to eliminate the enemy spies.,False,Alias,DieHardOnAnX
She easily could've avoided it though...,True,Alias,DisneyVillainDeath
"Most of the cast, at some point  Sydney and her father worked for the CIA, posed as SD-6 agents    Lauren  worked for the Covenant, but posed as an NSA agent  Sark is always claiming to work for someone or other, but is usually just out for himself",True,Alias,DoubleAgent
There's dysfunctional and then there's the Bristow family.,False,Alias,DysfunctionJunction
Fake Russian Sark is a Russian man with a  fake British accent  portrayed by American actor David Anders.,False,Alias,FakeNationality
"Turns out to be a  Xanatos Gambit  by Sloane himself and as part of it, his wife cut off her own finger and posted it to him.",True,Alias,FingerInTheMail
"Played with in respect to Emily Sloane, though ultimately   subverted, as Sloane was pulling this on  himself  and Emily was in on the con .",True,Alias,IHaveYourWife
Being a love interest other than Vaughn seems to be deadly.,True,Alias,KilledOffForReal
"Passage I/II: Jack (and the audience) gets to see Irina Derevko in bra and panties, and she gives her 'husband' a good, long look.",False,Alias,LingerieScene
"Played with, though, because   ""The Man"" is actually Irina, a woman .",True,Alias,TheManBehindTheMan
"Animal Motifs One of Sydney's call signs   after she returned from the ""dead""  was  ""Phoenix"" ; Jack's call signs are all birds (""Blackbird"" with SD-6, ""Raptor"" with the CIA).",True,Alias,Motifs
"They wrote the character as American, cast an Australian who can do a serviceable American accent, and make her an American raised in England.",False,Alias,NotEvenBotheringWithTheAccent
" Do not  mess with Sydney or you'll be dealing with Jack, and you will  not  be in good shape after.",False,Alias,PapaWolf
"In Season 2, halfway through,   Sydney and the CIA bring down the entire Alliance, including SD-6, Sydney starts to work for the  real  CIA in the open, and  her relationships with Vaughn, Sloane, Sark, and Dixon all change, and her relationships with her father and Marshall remain basically the same.",True,Alias,ReTool
"In Season 3,   after Sydney's 2-year memory hole, faked death, etc.",True,Alias,ReTool
"Sydney finds that Vaughn is   married , her dad   is in jail , Dixon   is the director of the LA office of the CIA , Sloane is   living in Europe as a philanthropist,  and other things.",True,Alias,ReTool
The interesting thing is that all of the original characters are maintained (minus   Will and Francie ) despite all of the changes in the show.,True,Alias,ReTool
"The same might be said of any show, but in  Alias  all of the characters completely change teams at least once and repeatedly betray one another, some of them over and over, in ways that would destroy most real (and even most TV) relationships.",True,Alias,ReTool
This how Sydney knows that   Francie  is an imposter.,True,Alias,SomethingTheyWouldNeverSay
"Sydney offers her some coffee ice cream, something the real   Francie  hated, and she accepts.",True,Alias,SomethingTheyWouldNeverSay
Extra cool because   Jack gets to hook up with her .,True,Alias,SuspiciouslySimilarSubstitute
"This element is used more than fight sequences, as torture sequences involve less choreography.",False,Alias,ATorturedIndex
"He turned from sweet, mild mental patient to master-assassin upon completion of the piece.",False,Alias,TriggerPhrase
"""  ""Syd... since that night...   you were missing.",True,Alias,WhamLine
You've been missing for almost two years .,True,Alias,WhamLine
"And the people who live there   can make you forget your family and work for them, or simply drug you and drain you of your emotions to keep the local population under their control.",True,Alice2009,AdultFear
"The bad guys kidnap people from our world   including  children  and drain them of their emotions,  Mooks  are sentenced to decapitation with frequency, and keep the populace in control with drugs.",True,Alice2009,BlackAndGreyMorality
  Dodo  just shoots  Hatter .,True,Alice2009,CombatPragmatist
"Luckily,   Hatter  has a  Bulletproof Vest .",True,Alice2009,CombatPragmatist
"When Charlie fires his crossbow toward the end, and  thinks  he   blows up the Hearts Casino  because the timing happens to be spot-on.",True,Alice2009,CorrelationCausationGag
"I'd make the Hearts think I was working for them, while I fed their enemies.",False,Alice2009,DoubleAgent
"Hatter effing earned that hug   and kiss  he got in the last scene, with all that he went through for Alice.",True,Alice2009,EarnYourHappyEnding
"The Queen of Hearts keeps the residents of Wonderland happy  and controlled  by harvesting positive emotions from captive humans and selling them to the populace as ""teas"" through ""Tea Shops"", like the one Hatter owns/operates.",True,Alice2009,EmotionEater
"The dead   Winston King of Hearts, Carpenter/Robert Hamilton, Walrus, and potentially Agent White  are all men.",True,Alice2009,MenAreTheExpendableGender
Duchess  could have theoretically qualified for expendable because    Redemption Equals Death  but it was averted in her case.,True,Alice2009,MenAreTheExpendableGender
Somebody had to rescue  Jack,True,Alice2009,MenAreTheExpendableGender
"And   The Carpenter's  Heel Face Turn , but that was more  paternal  love.",True,Alice2009,PowerOfLove
"  Jack, quite literally, who also doubles as a  Runaway Fianc  from an  Arranged Marriage .",True,Alice2009,RebelliousPrincess
He fits better as a  Gender Flip  of  Rebellious Princess  than as a  Rebel Prince .,True,Alice2009,RebelliousPrincess
Why does the aerial transport look like a blend of a Vespa and a flamingo?,False,Alice2009,RuleOfCool
":  One of the last times we see the Duchess, she's wearing  Jane Fonda 's outfit from  Barbarella .",False,Alice2009,ShoutOut
"Winston, the King of Hearts   is  Driven to Suicide .",True,Alice2009,StealthPun
The nickname of the card 'the king of hearts' is 'the suicide king'.,True,Alice2009,StealthPun
The Oysters are barefoot and that is what connects them to the  Lotus-Eater Machine .,True,Alice2009,StealthPun
"Though not stated outright (at least as far as  I  remember), Hatter can punch hard enough to leave a small crater in a wall.",False,Alice2009,SuperStrength
"  Dodo  actually  does , but  Hatter  is prepared.",True,Alice2009,WhyDontYouJustShootHim
"  Dodo, about Hatter, after he shoots him.",True,Alice2009,YouHaveOutlivedYourUsefulness
"Thankfully, it doesn't take.",True,Alice2009,YouHaveOutlivedYourUsefulness
  Jack  Heart  is engaged to Duchess the entire time he and Alice are dating.,True,Alice2009,YourCheatingHeart
 with a  Sitcom  twist: the minority partner is a space alien.,False,AlienNation,BuddyCopShow
"The television series, based on the film  Alien Nation , lasted for 22 episodes from September, 1989 to May, 1990.",False,AlienNation,BuddyCopShow
They are extremely strong and can learn quickly.,False,AlienNation,BuddyCopShow
"George's name was originally ""Sam Francisco"", but he changed it at Matt's request.",False,AlienNation,BuddyCopShow
" Slag Like Me , an  Expanded Universe  novel in which a human reporter goes undercover as a Newcomer and reports on their experiences.",False,AlienNation,BlackLikeMe
  the cop who taught Matt in the force  frames George for stealing drugs.,True,AlienNation,BrokenPedestal
"Unfortunately,  Matt and Cathy's child was unable to survive after being born, due to her mixed genetics .",True,AlienNation,ButICantBePregnant
" /  Tykebomb The Udara ""seeded"" sleeper agents to fight the Overseers during slavery, many of whom were children, including   Emily .",True,AlienNation,ChildSoldiers
"In the pilot, Emily is befriended by Molly, daughter of the Francisco's neighbor.",False,AlienNation,ChuckCunninghamSyndrome
"After the series was canceled, the story was continued in a series of  Tie-In Novels .",False,AlienNation,Continuation
The yeast-fermented stuff that we humans prefer has no effect on them.,False,AlienNation,GRatedDrug
"Tenctonese  erogenous zones are entirely different  from humans (shoulder blades, wrists, temples), enabling them to make out on network TV.",False,AlienNation,GRatedSex
"Although they look moderately similar to humans, Tenctonese cannot metabolize cooked protein, so most of their diet consists of raw animals.",False,AlienNation,HumanOutsideAlienInside
Racism aside that's pretty damn impressive.,False,AlienNation,HumansAreBastards
"a few, such as   the old Newcomer man who hunts down Overseers and kills them  and   the leader of the binnaums who has those who leave his order killed",True,AlienNation,KnightTemplar
"Unusually for this trope, by the end of the episode one of the explanations is disproved   the robber had no mystical powers, he was just trying to get a chance to escape  we aren't given any sort of conclusive answer, aside from the rather lacklustre medical explanation.",True,AlienNation,MaybeMagicMaybeMundane
"The Newcomers have great strength, stamina, durability, ability to survive in environments humans can't, extra hearts, and if they overdose on an  extraterrestrial   narcotic , they transform into  murderous, supercharged berserkers .",False,AlienNation,PunyEarthlings
"But wait, it gets better, when after getting her to come to his house, he goes to the next room to have a phone conversation in which he brags about how he's going to ""bag the slag""; Emily, like all Newcomers, has superhearing.",False,AlienNation,TooDumbToLive
Newcomer flesh dissolves on contact with  salt water .,False,AlienNation,WeaksauceWeakness
"In the final movie, George and Susan have basically this argument about the Udara.",False,AlienNation,YourTerroristsAreOurFreedomFighters
"The show ran from 1978 to 1980, had two  Christmas Episodes  in 1983 and 1985, and came back to run from 1988 to 1990, concluding with another Christmas Episode.",False,AllCreaturesGreatAndSmall,JamesHerriot
"The  Theme Tune ,  Piano Parchment , is  particularly lovely .",False,AllCreaturesGreatAndSmall,JamesHerriot
"Routinely lampshaded in the books when Herriot mentions that he doesn't doubt that the modern vet student will look at his descriptions of their treatments of the time and consider them to be unbelievably barbaric (lungworm, for example, was treated with turpentine squirted into the lungs).",False,AllCreaturesGreatAndSmall,AllNaturalSnakeOil
Calum has a badger!,False,AllCreaturesGreatAndSmall,CoolPet
"Both are also genuinely likable personalities, in an eccentric way.",False,AllCreaturesGreatAndSmall,MisterMuffykins
"The show is set in North Yorkshire, so thickly accented farmers in flat caps are the norm.",False,AllCreaturesGreatAndSmall,OopNorth
Is it any wonder that his coworkers ended up with the names  Siegfried and Tristan ?,False,AllCreaturesGreatAndSmall,ShoutOutThemeNaming
The impact of the show was such that it became the focus of a heated national debate on whether the use of comedy was an appropriate means by which to combat prejudice and social inequality.,False,AllInTheFamily,NostalgiaFilter
"However, in ""Lionel Steps Out,"" he puts Archie in his place (not too nicely) when he crosses the line and tries to stop him from dating his white niece.",False,AllInTheFamily,BewareTheNiceOnes
Even the Jeffersons were mentioned and appeared again after being spun-off.,False,AllInTheFamily,ChuckCunninghamSyndrome
"Archie used to be one, and only could quit when Edith threatened to leave him.",False,AllInTheFamily,TheGamblingAddict
Was the first television show to feature a toilet flushing.,False,AllInTheFamily,GettingCrapPastTheRadar
"He has a problem with religion and is outraged when Archie baptized his son behind his back, but in the long run Archie's the one who always picks fights with Mike about it.",False,AllInTheFamily,HollywoodAtheist
Archie's lodge is in trouble for not having any black or Jewish members.,False,AllInTheFamily,LoweredRecruitingStandards
So he suggests that they invite one black to join - Solomon Jackson.,False,AllInTheFamily,LoweredRecruitingStandards
And Archie and Edith travel West to visit the Stivics for Christmas in season 9.,False,AllInTheFamily,PutOnABus
"A more straight example happened in ""Stretch Cunningham, Goodbye"", where the titular recurring character dies and both Archie and the audience discovers he was Jewish.",False,AllInTheFamily,SuddenlyEthnicity
 Edith was used sparingly in the first season of  Archie Bunker's Place  before dying of a stroke offscreen.,True,AllInTheFamily,SuddenSequelDeathSyndrome
Variation - just whether or not   Mike and Gloria get back together or go through with their divorce  is unclear.,True,AllInTheFamily,WillTheyOrWontThey
It simply gives a vague closing scene of everyone calmly sitting by the Christmas tree.,True,AllInTheFamily,WillTheyOrWontThey
"The  Gloria  spinoff says that   he does leave her , but how canon that was is up for debate.",True,AllInTheFamily,WillTheyOrWontThey
"She was, indeed, as Archie often called her, a ""dingbat"", but she was also much more socially sensitive and moral than him.",False,AllInTheFamily,WomenAreWiser
"(Maria, Hans Geering, the original Leclerc and  eventually, the British Airmen, though they returned for a brief appearance in the finale )",True,AlloAllo,PutOnABus
 than you can (ahem) shake a stick at.,False,AlloAllo,DoubleEntendre
"The  Distant Finale  makes it decidedly  un ambiguous, as he's hooked up with  Helga .",True,AlloAllo,AmbiguouslyGay
I am eloping!!!,True,AlloAllo,CatchPhrase
"""Come Helga, stand beneath the brim of my  wide Gestapo hat.",True,AlloAllo,CatchPhrase
   Subverted with the three suicide pill rings; they all turn out to be duds.,False,AlloAllo,ChekhovsGun
"""  As Ren put it: ""He's a man of a thousand disguises... every one the same.",False,AlloAllo,ClarkKenting
The real paintings would go to Ren and the Germans in theory but with everyone trying to short everyone it all got horrible confused.,False,AlloAllo,GambitPileup
"Poor Edith, despite being a clever woman, always falls for Ren's transparent lies when she catches him cheating on her.",False,AlloAllo,LoveMartyr
They are prominently displayed during   Ren's execution  in the season 1.,True,AlloAllo,NoSwastikas
"""  During the ""escape from the prisoner of war camp"" arc there's a number of little shout outs to  The Great Escape , as they put dirt in Rene's trousers so he can dump it around the camp (in the original they had inside pockets that released the dirt).",False,AlloAllo,ShoutOut
"   The first seven seasons took place over only a few months, then two years pass between the seventh and eighth.",False,AlloAllo,TimeSkip
 chronicling  the rivalry between two choirs  and the lives of their musical directors.,False,AllTheSmallThings,TheBBC
"The less-talented choristers find themselves sacked from the choir; Esther finds herself jilted by Michael, who sets up home with Layla.",False,AllTheSmallThings,TheBBC
"She knows ""this one song"" and starts to sing it.",False,AllyMcBeal,ThemeMusicPowerUp
":  ""The Game Boy comes in white, black, red, yellow, or...wicked see-through!",False,Amazing,CatchPhrase
Thelma and Deacon Frye are the most egregious offenders.,False,Amen,AesopAmnesia
Deacon Frye fakes a marriage to Inga so she could fool an INS agent and stay in the country.,False,Amen,CitizenshipMarriage
Not until Thelma finally tells her off does she admit that her son is the only family she has left and that she was afraid of losing him.,False,Amen,MyBelovedSmother
"A six-episode arc in the fourth season has Thelma joining the Army, with  predictable results , despite initially presenting herself as a very competent would-be soldier.",False,Amen,ArmedFarces
"Surprisingly, Deacon Frye defends her   after he delivers her baby .",True,Amen,TeenPregnancy
He also convinces the baby's father to marry her in a later episode.,True,Amen,TeenPregnancy
"And at times, they just goofed off.",False,AmericanChopper,DocuSoap
She also chains her son Beau up in the attic because of a genetic deformity.,True,AmericanHorrorStory,TeensAreMonsters
It's further implied that she physically and certainly emotionally abused Tate.,True,AmericanHorrorStory,TeensAreMonsters
"Unlike most examples,   Moira  has the opportunity to actually scream.",True,AmericanHorrorStory,AndIMustScream
"Like one of the twins Vivian is carrying...    And he's starting in early, as three years after Constance decides to raise him, he murders his nanny.",True,AmericanHorrorStory,AntiChrist
How   Nora Montgomery  committed suicide   after killing her husband out of grief over her  mutated baby .,True,AmericanHorrorStory,AteHisGun
"  All of the Harmons die and are trapped in the House with all the other ghosts forever, but are actively working to make sure no other family ends up like them and are finally happy,  Together in Death .",True,AmericanHorrorStory,BittersweetEnding
"Constance is also finally happy, but is raising the  Anti Christ .",True,AmericanHorrorStory,BittersweetEnding
"Tate, finally remorseful, is left alone, pining for Violet from afar but may earn her forgiveness one day.",True,AmericanHorrorStory,BittersweetEnding
Larry Harvey claims that the horrible burns he received when he   supposedly killed his family  were from saving children from a burning school bus.,True,AmericanHorrorStory,BlatantLies
"Ben checked up on his past, forcing Larry to confess that he  didn't  kill his wife and children.",True,AmericanHorrorStory,BlatantLies
"Upon confessing to his wife Lorraine that he had fallen for Constance, Lorraine locked herself in a room upstairs with their daughters.",True,AmericanHorrorStory,BlatantLies
They died in the fire she set.,True,AmericanHorrorStory,BlatantLies
"He wasn't even burned there, he was burned sometime later when Tate set him on fire.",True,AmericanHorrorStory,BlatantLies
Revealed to have been the work of the rubber suit man.,True,AmericanHorrorStory,BuryYourGays
"In the flashback in ""Home Invasion,"" the nurse who is referred to as a ""lezzie"" is drowned in the bathtub later that same scene.",True,AmericanHorrorStory,BuryYourGays
"Charles used a  still-beating heart  to resurrect it, but it came back with a craving for blood, resulting in Nora attempting to kill it.",True,AmericanHorrorStory,CameBackWrong
Chekhovs Cupcakes: the cupcakes Constance brought over for Violet.,True,AmericanHorrorStory,ChekhovsGun
"One is eaten by one of the home invaders, which makes her ill and results in her not joining the other two in the basement.",True,AmericanHorrorStory,ChekhovsGun
"Chekhovs Crime: A subtle one, but the cop at the end of the second episode said that   Bianca was found blocks away from the murder house, cut in half.",True,AmericanHorrorStory,ChekhovsGun
He said that it looked like her friends tried to do a Black Dahlia on her.,True,AmericanHorrorStory,ChekhovsGun
And how do they carry Travis' corpse out of the house?,True,AmericanHorrorStory,ChekhovsGun
"The realtor had an actual gun   which Vivien later stole and accidentally shot her husband with  In fact, quite a lot of the onscreen deaths are caused by guns.",True,AmericanHorrorStory,ChekhovsGun
"  Moira, killed by Constance long before the series began.",True,AmericanHorrorStory,DeadAllAlong
"This is how Constance knew about the house's power, as they were living there at the time.",True,AmericanHorrorStory,DeadAllAlong
Violet did not survive her overdose!,True,AmericanHorrorStory,DeadAllAlong
"This trope could possibly apply to almost anyone in the cast, there's a lot of ambiguity about who's alive and who's dead.",True,AmericanHorrorStory,DeadAllAlong
She stabs him to death after the second time.,True,AmericanHorrorStory,DeathBySex
"As he was dead, it didn't affect him.",True,AmericanHorrorStory,DeathBySex
"After her encounter in the Harmons' basement, this seems to have happened with  Leah  and Violet.",False,AmericanHorrorStory,DefeatMeansFriendship
She's phased out entirely after Violet dies .,True,AmericanHorrorStory,DemotedToExtra
"In another, it was having sex with Luke the security guard, Ben,  and  the rubber suit man.",True,AmericanHorrorStory,DreamSequence
She wasn't asleep.,False,AmericanHorrorStory,DreamSequence
Violet shows signs of this   after she discovers the truth of what Tate had done .,True,AmericanHorrorStory,DrivenToMadness
